,timestamp,value
4,2022-01-30,93875.758094453
5,2022-02-06,92155.0017601795
6,2022-02-13,88178.2998961041
7,2022-02-20,84711.2269807857
8,2022-02-27,83787.3333358444
9,2022-03-06,88489.9752084822
10,2022-03-13,89829.5783134085
11,2022-03-20,91653.9882489653
12,2022-03-27,91809.8823309885
13,2022-04-03,82125.5308443502
14,2022-04-10,80192.2387322471
15,2022-04-17,80170.6427283843
16,2022-04-24,83995.8392593303
17,2022-05-01,90280.5565442165
18,2022-05-08,91518.3602270153
19,2022-05-15,92042.0129639104
20,2022-05-22,87644.9281373278
21,2022-05-29,83610.8031452539
22,2022-06-05,82993.265037533
23,2022-06-12,81960.9813018087
24,2022-06-19,83606.9123871526
25,2022-06-26,86293.6947494159
26,2022-07-03,89549.4752235998
27,2022-07-10,90149.3343301334
28,2022-07-17,89649.8285696977
29,2022-07-24,89199.37063757
30,2022-07-31,90709.5720032395
31,2022-08-07,93030.317354688
32,2022-08-14,93485.6495603292
33,2022-08-21,91616.3115384742
34,2022-08-28,86821.5669577022
35,2022-09-04,84477.0197459429
36,2022-09-11,91343.7609809598
37,2022-09-18,99847.646617932
38,2022-09-25,102152.47529134
39,2022-10-02,106555.139714363
40,2022-10-09,103099.72267049
41,2022-10-16,100118.168469873
42,2022-10-23,100130.893807711
43,2022-10-30,100108.095146242
44,2022-11-06,103017.477424365
45,2022-11-13,101746.337883621
46,2022-11-20,105207.822016898
47,2022-11-27,103210.76936828
48,2022-12-04,99235.3692350773
49,2022-12-11,99800.3807962012
50,2022-12-18,99635.3778786432
51,2022-12-25,102300.068870709
52,2023-01-01,103887.348581989
53,2023-01-08,101623.23180406
54,2023-01-15,98730.3409601494
55,2023-01-22,96717.7331524984
56,2023-01-29,93815.7754643714
57,2023-02-05,94449.5753662815
58,2023-02-12,93853.7146206029
59,2023-02-19,92655.701648734
60,2023-02-26,90900.3602147913
61,2023-03-05,90556.8482657602
62,2023-03-12,87764.2261291961
63,2023-03-19,83104.1194938184
64,2023-03-26,88145.9462413425
65,2023-04-02,92003.5994370031
66,2023-04-09,93032.51927445
67,2023-04-16,93956.7160442213
68,2023-04-23,86721.0672981041
69,2023-04-30,77783.5950534255
70,2023-05-07,76673.6851166072
71,2023-05-14,77369.0364180121
72,2023-05-21,78982.0574636248
73,2023-05-28,82620.0790047498
74,2023-06-04,85548.7805699375
75,2023-06-11,85622.3664188581
76,2023-06-18,84586.1374675413
77,2023-06-25,84990.1267568746
78,2023-07-02,82015.3712131625
79,2023-07-09,81465.5762560667
80,2023-07-16,81866.8767887897
81,2023-07-23,79148.4690586944
82,2023-07-30,85003.9281222476
83,2023-08-06,90702.7818758211
84,2023-08-13,95052.9066299605
85,2023-08-20,101905.792042113
86,2023-08-27,104741.595032459
87,2023-09-03,108206.824922565
88,2023-09-10,108460.089654847
89,2023-09-17,108238.662871447
90,2023-09-24,103729.299820437
91,2023-10-01,102001.963971452
92,2023-10-08,104815.377715685
93,2023-10-15,103021.216620052
94,2023-10-22,104154.64628801
95,2023-10-29,102062.338301801
96,2023-11-05,100594.951678105
97,2023-11-12,102045.600824708
98,2023-11-19,99388.3094902924
99,2023-11-26,97095.8347939992
100,2023-12-03,95213.9354628946
101,2023-12-10,93384.3783102543
102,2023-12-17,95088.0172772249
103,2023-12-24,94393.3076556552
104,2023-12-31,92609.1286837579
105,2024-01-07,90581.1277773185
106,2024-01-14,85081.6061563753
107,2024-01-21,82629.5585448929
108,2024-01-28,78720.2501224934
109,2024-02-04,77424.3934419192
110,2024-02-11,77581.7526272883
111,2024-02-18,77948.8289232351
112,2024-02-25,80089.3062006355
113,2024-03-03,78597.9031672362
114,2024-03-10,79349.9899887997
115,2024-03-17,77941.5873891432
116,2024-03-24,76508.8652549531
117,2024-03-31,75030.4112943848
118,2024-04-07,74640.5671743444
119,2024-04-14,79187.5564150401
120,2024-04-21,82215.4788729557
121,2024-04-28,86098.9291726684
122,2024-05-05,88308.3719417299
123,2024-05-12,85683.1153905016
124,2024-05-19,85369.4684544988
125,2024-05-26,87172.0698051431
126,2024-06-02,88030.2883718936
127,2024-06-09,89287.7590823633
128,2024-06-16,88770.9693015795
129,2024-06-23,85350.9227262538
130,2024-06-30,84000.8526290862
131,2024-07-07,81986.5664809255
132,2024-07-14,83203.8508435115
133,2024-07-21,86348.9625417714
134,2024-07-28,85759.7895696723
135,2024-08-04,86675.8872638951
136,2024-08-11,85598.4412090493
137,2024-08-18,80544.1003925088
138,2024-08-25,79523.1982724311
139,2024-09-01,78985.2219031396
140,2024-09-08,82473.8173375134
141,2024-09-15,64471.9265312985
142,2024-09-22,44804.3470682884
143,2024-09-29,24567.0372697422
